"","ID","Gene.title","Gene.symbol","Gene.ID","UniGene.title","UniGene.symbol","UniGene.ID","Nucleotide.Title","GI","GenBank.Accession","Platform_CLONEID","Platform_ORF","Platform_SPOTID","Chromosome.location","Chromosome.annotation","GO.Function","GO.Process","GO.Component","GO.Function.ID","GO.Process.ID","GO.Component.ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1429897_a_at","1429897_a_at","DNA segment, Chr 16, ERATO Doi 472, expressed","D16Ertd472e","67102","","","","",NA,"",NA,NA,NA,"16 45.36 cM","Chromosome 16, NC_000082.6 (78540336..78576688, complement)","molecular_function","biological_process","cellular_component","GO:0003674","GO:0008150","GO:0005575",-1.07400608775645,7.77444641154668,-10.3903088786854,2.52805802069577e-07,3.78797158775415e-05,7.43646894933605
"1457401_at","1457401_at","dynein, axonemal, heavy chain 9","Dnah9","237806","","","","UI-M-BH3-atj-c-10-0-UI.s1 NIH_BMAP_M_S4 Mus musculus cDNA clone UI-M-BH3-atj-c-10-0-UI 3-, mRNA sequence",7062383,"AW492102",NA,NA,NA,"11 40.53 cM","Chromosome 11, NC_000077.6 (65831324..66170605, complement)","molecular_function","biological_process","axoneme","GO:0003674","GO:0008150","GO:0005930",-1.03329245385223,7.39690453647876,-10.3840769984441,2.54450641453435e-07,3.79999284112298e-05,7.429978176568
"1449199_at","1449199_at","mucin 1, transmembrane","Muc1","17829","","","","Mus musculus mucin 1, transmembrane (Muc1), mRNA",530537203,"NM_013605",NA,NA,NA,"3 39.02 cM","Chromosome 3, NC_000069.6 (89229056..89233381)","","","apical plasma membrane///apical plasma membrane///cell surface///cytoplasm///integral component of membrane///membrane///nucleus///plasma membrane","","","GO:0016324///GO:0016324///GO:0009986///GO:0005737///GO:0016021///GO:0016020///GO:0005634///GO:0005886",-1.0745271755677,9.25210982738313,-10.3776990682777,2.56145953762076e-07,3.81268602660838e-05,7.42333155017548
"1425233_at","1425233_at","RIKEN cDNA 2210407C18 gene","2210407C18Rik","78354","","","","Mus musculus RIKEN cDNA 2210407C18 gene, mRNA (cDNA clone MGC:28707 IMAGE:4456658), complete cds",18044138,"BC019553",NA,NA,NA,"11 B1.3","Chromosome 11, NC_000077.6 (58608204..58613492, complement)","molecular_function","biological_process","cellular_component","GO:0003674","GO:0008150","GO:0005575",-1.15172864141186,11.2008341813538,-10.3709475093079,2.57953825331979e-07,3.82333770166416e-05,7.416291432862
"1450332_s_at","1450332_s_at","flavin containing monooxygenase 5","Fmo5","14263","","","","Mus musculus flavin containing monooxygenase 5 (Fmo5), transcript variant 3, mRNA",239937549,"NM_010232",NA,NA,NA,"3 F2.2","Chromosome 3, NC_000069.6 (97610185..97655287)","N,N-dimethylaniline monooxygenase activity///N,N-dimethylaniline monooxygenase activity///NADP binding///flavin adenine dinucleotide binding///monooxygenase activity///oxidoreductase activity","drug metabolic process///oxidation-reduction process","cytoplasm///endoplasmic reticulum///integral component of membrane///intracellular membrane-bounded organelle///membrane","GO:0004499///GO:0004499///GO:0050661///GO:0050660///GO:0004497///GO:0016491","GO:0017144///GO:0055114","GO:0005737///GO:0005783///GO:0016021///GO:0043231///GO:0016020",-1.3066020167993,7.54075875383526,-10.3408787851647,2.66173671876001e-07,3.86253920378601e-05,7.38488601825418
"1431521_at","1431521_at","membrane-spanning 4-domains, subfamily A, member 18","Ms4a18","76002","","","","mb56g02.x1 Soares mouse p3NMF19.5 Mus musculus cDNA clone IMAGE:333458 3-, mRNA sequence",4258406,"AI414902",NA,NA,NA,"19 A","Chromosome 19, NC_000085.6 (10997024..11018026, complement)","molecular_function","biological_process","cellular_component","GO:0003674","GO:0008150","GO:0005575",-1.2929221805355,4.6883937392278,-10.3404714646488,2.66286935995771e-07,3.86253920378601e-05,7.38446001142255
"1447773_x_at","1447773_x_at","RIKEN cDNA 6330409D20 gene","6330409D20Rik","70730","","","","BB308792 RIKEN full-length enriched, adult male corpora quadrigemina Mus musculus cDNA clone B230307H09 3-, mRNA sequence",9009497,"BB308792",NA,NA,NA,"2","Chromosome 2, NC_000068.7 (32732620..32741016, complement)","molecular_function","biological_process","cellular_component","GO:0003674","GO:0008150","GO:0005575",-1.38926237410519,6.66330158087182,-10.3343962167379,2.67982453990703e-07,3.86253920378601e-05,7.37810421427906
"1449952_s_at","1449952_s_at","protease, serine 30","Prss30","30943","","","","Mus musculus protease, serine 30 (Prss30), mRNA",255958186,"NM_013921",NA,NA,NA,"17 A3.3","Chromosome 17, NC_000083.6 (23972127..23980575, complement)","hydrolase activity///peptidase activity///serine-type endopeptidase activity///serine-type peptidase activity///sodium channel regulator activity","ion transport///proteolysis///sodium ion transport///transport","anchored component of membrane///membrane///plasma membrane","GO:0016787///GO:0008233///GO:0004252///GO:0008236///GO:0017080","GO:0006811///GO:0006508///GO:0006814///GO:0006810","GO:0031225///GO:0016020///GO:0005886",-1.63593577969091,6.46059102060159,-10.3038985446089,2.76671186253348e-07,3.92407033874933e-05,7.34614599807424
"1435012_x_at","1435012_x_at","uncharacterized LOC102641402///chymotrypsin-like elastase family, member 3A///chymotrypsin-like elastase family, member 3B","LOC102641402///Cela3a///Cela3b","102641402///242711///67868","","","","",NA,"",NA,NA,NA,"4 D3///4 69.9 cM","Chromosome 4///Chromosome 4, NC_000070.6 (137401554..137409791, complement)///Chromosome 4, NC_000070.6 (137421008..137430520, complement)","serine-type endopeptidase activity///hydrolase activity///peptidase activity///serine-type endopeptidase activity///serine-type peptidase activity","cholesterol metabolic process///cholesterol metabolic process///proteolysis","extracellular space///extracellular space","GO:0004252///GO:0016787///GO:0008233///GO:0004252///GO:0008236","GO:0008203///GO:0008203///GO:0006508","GO:0005615///GO:0005615",-1.05354557173284,8.64725483908411,-10.2859393114227,2.81929096128733e-07,3.96114771479813e-05,7.327285879261
"1429856_at","1429856_at","tetraspanin 18","Tspan18","241556","","","","Mus musculus 10 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2610042G18 product:RIKEN cDNA 2610042G18 gene, full insert sequence",12848058,"AK011742",NA,NA,NA,"2 E1","Chromosome 2, NC_000068.7 (93201760..93334553, complement)","molecular_function","cell surface receptor signaling pathway","integral component of membrane///integral component of plasma membrane///membrane","GO:0003674","GO:0007166","GO:0016021///GO:0005887///GO:0016020",-1.55200597667284,6.16292944355482,-10.1654747049553,3.2009827068982e-07,4.34311863135736e-05,7.19999093830835
"1424509_at","1424509_at","CD177 antigen","Cd177","68891","","","","Mus musculus CD177 antigen, mRNA (cDNA clone MGC:27738 IMAGE:2648499), complete cds",20071002,"BC027283",NA,NA,NA,"7 A3","Chromosome 7, NC_000073.6 (24743983..24760334, complement)","molecular_function","biological_process","anchored component of membrane///extracellular exosome///membrane///plasma membrane","GO:0003674","GO:0008150","GO:0031225///GO:0070062///GO:0016020///GO:0005886",-2.11531931864328,5.76159805803445,-10.045326007049,3.63757098203025e-07,4.7553069234941e-05,7.07164987923718
"1450779_at","1450779_at","fatty acid binding protein 7, brain","Fabp7","12140","","","","Mus musculus fatty acid binding protein 7, brain (Fabp7), mRNA",94540560,"NM_021272",NA,NA,NA,"10 B4","Chromosome 10, NC_000076.6 (57784923..57788450)","fatty acid binding///lipid binding///transporter activity","cell proliferation in forebrain///epithelial cell proliferation///neurogenesis///prepulse inhibition///startle response///transport","cell body///cell periphery///cell projection///cell-cell junction///cytoplasm///cytosol///neuronal cell body///nucleoplasm///nucleus","GO:0005504///GO:0008289///GO:0005215","GO:0021846///GO:0050673///GO:0022008///GO:0060134///GO:0001964///GO:0006810","GO:0044297///GO:0071944///GO:0042995///GO:0005911///GO:0005737///GO:0005829///GO:0043025///GO:0005654///GO:0005634",-1.00942886428325,7.69415525977768,-10.0244070464083,3.7199243059111e-07,4.80722940174489e-05,7.04916216572028
"1418278_at","1418278_at","apolipoprotein C-III","Apoc3","11814","","","","Mus musculus apolipoprotein C-III, mRNA (cDNA clone MGC:28546 IMAGE:4196708), complete cds",18256822,"BC021776",NA,NA,NA,"9 25.36 cM","Chromosome 9, NC_000075.6 (46233050..46235636, complement)","high-density lipoprotein particle receptor binding///lipase inhibitor activity///lipid binding///phospholipid binding","cellular response to glucose stimulus///cholesterol homeostasis///cholesterol metabolic process///lipid catabolic process///lipid metabolic process///lipid transport///lipoprotein metabolic process///lipoprotein transport///negative regulation of high-density lipoprotein particle clearance///negative regulation of lipoprotein lipase activity///negative regulation of low-density lipoprotein particle clearance///negative regulation of oxidative phosphorylation///negative regulation of triglyceride catabolic process///negative regulation of very-low-density lipoprotein particle clearance///positive regulation of triglyceride biosynthetic process///response to peptide hormone///transport///triglyceride catabolic process///triglyceride homeostasis///triglyceride metabolic process///triglyceride mobilization///very-low-density lipoprotein particle assembly","chylomicron///extracellular region///extracellular space///intermediate-density lipoprotein particle///spherical high-density lipoprotein particle///very-low-density lipoprotein particle","GO:0070653///GO:0055102///GO:0008289///GO:0005543","GO:0071333///GO:0042632///GO:0008203///GO:0016042///GO:0006629///GO:0006869///GO:0042157///GO:0042953///GO:0010987///GO:0051005///GO:0010989///GO:0090324///GO:0010897///GO:0010916///GO:0010867///GO:0043434///GO:0006810///GO:0019433///GO:0070328///GO:0006641///GO:0006642///GO:0034379","GO:0042627///GO:0005576///GO:0005615///GO:0034363///GO:0034366///GO:0034361",-2.38675932351091,7.90003274597268,-10.0111753992065,3.77304759642127e-07,4.84809742581754e-05,7.0349163092793
"1448783_at","1448783_at","solute carrier family 7 (cationic amino acid transporter, y+ system), member 9","Slc7a9","30962","","","","Mus musculus solute carrier family 7 (cationic amino acid transporter, y+ system), member 9 (Slc7a9), transcript variant 1, mRNA",312222708,"NM_021291",NA,NA,NA,"7 B2","Chromosome 7, NC_000073.6 (35448728..35466034)","L-cystine transmembrane transporter activity///L-cystine transmembrane transporter activity///amino acid transmembrane transporter activity///antiporter activity///neutral amino acid transmembrane transporter activity///neutral amino acid transmembrane transporter activity///protein binding","L-cystine transport///L-cystine transport///amino acid transmembrane transport///amino acid transport///neutral amino acid transport///transport","apical plasma membrane///brush border membrane///brush border membrane///integral component of membrane///integral component of plasma membrane///membrane///plasma membrane","GO:0015184///GO:0015184///GO:0015171///GO:0015297///GO:0015175///GO:0015175///GO:0005515","GO:0015811///GO:0015811///GO:0003333///GO:0006865///GO:0015804///GO:0006810","GO:0016324///GO:0031526///GO:0031526///GO:0016021///GO:0005887///GO:0016020///GO:0005886",-1.47437020732708,4.79858028694214,-10.00132850394,3.81311063460724e-07,4.88565632759719e-05,7.02430359148198
"1423186_at","1423186_at","T cell lymphoma invasion and metastasis 2","Tiam2","24001","","","","K0270H03-3 NIA Mouse Unfertilized Egg cDNA Library (Long) Mus musculus cDNA clone NIA:K0270H03 IMAGE:30051446 3-, mRNA sequence",31486489,"BM228957",NA,NA,NA,"17 1.99 cM","Chromosome 17, NC_000083.6 (3326296..3519397)","GTPase activator activity///Rho guanyl-nucleotide exchange factor activity///guanyl-nucleotide exchange factor activity///protein binding///receptor signaling protein activity","intracellular signal transduction///regulation of Rho protein signal transduction///signal transduction","cell projection///cytoplasm///extracellular exosome///membrane","GO:0005096///GO:0005089///GO:0005085///GO:0005515///GO:0005057","GO:0035556///GO:0035023///GO:0007165","GO:0042995///GO:0005737///GO:0070062///GO:0016020",-1.13186050309125,6.90571336330451,-9.97591810132324,3.9186230783297e-07,4.9924807755861e-05,6.99687327422242
"1420802_at","1420802_at","interleukin 13","Il13","16163","","","","Mus musculus interleukin 13 (Il13), mRNA",226874824,"NM_008355",NA,NA,NA,"11 31.98 cM","Chromosome 11, NC_000077.6 (53631323..53634702, complement)","cytokine activity///cytokine receptor binding///interleukin-13 receptor binding///interleukin-13 receptor binding","cellular response to cytokine stimulus///immune response///inflammatory response///microglial cell activation///negative regulation of NAD(P)H oxidase activity///negative regulation of complement-dependent cytotoxicity///negative regulation of endothelial cell apoptotic process///negative regulation of neuron death///negative regulation of transforming growth factor beta production///positive regulation of B cell proliferation///positive regulation of B cell proliferation///positive regulation of connective tissue growth factor production///positive regulation of immunoglobulin production///positive regulation of immunoglobulin production///positive regulation of immunoglobulin production///positive regulation of ion transport///positive regulation of macrophage activation///positive regulation of mast cell degranulation///positive regulation of mast cell degranulation///positive regulation of pancreatic stellate cell proliferation///positive regulation of protein secretion///positive regulation of release of sequestered calcium ion into cytosol///positive regulation of smooth muscle cell proliferation///positive regulation of tyrosine phosphorylation of Stat6 protein///regulation of proton transport///response to nicotine","cytoplasm///external side of plasma membrane///extracellular region///extracellular space///extracellular space","GO:0005125///GO:0005126///GO:0005144///GO:0005144","GO:0071345///GO:0006955///GO:0006954///GO:0001774///GO:0033861///GO:1903660///GO:2000352///GO:1901215///GO:0071635///GO:0030890///GO:0030890///GO:0032723///GO:0002639///GO:0002639///GO:0002639///GO:0043270///GO:0043032///GO:0043306///GO:0043306///GO:2000231///GO:0050714///GO:0051281///GO:0048661///GO:0042526///GO:0010155///GO:0035094","GO:0005737///GO:0009897///GO:0005576///GO:0005615///GO:0005615",-1.10446932481913,8.99203835079494,-9.96620862705861,3.9597650259102e-07,5.01655512453865e-05,6.98637532485096
"1451490_at","1451490_at","lysophospholipase-like 1","Lyplal1","226791","","","","Mus musculus lysophospholipase-like 1, mRNA (cDNA clone MGC:28394 IMAGE:4023059), complete cds",20071103,"BC027340",NA,NA,NA,"1 H5","Chromosome 1, NC_000067.6 (186087732..186117310, complement)","2,4,4-trimethyl-3-oxopentanoyl-CoA thioesterase activity///2-oxoglutaryl-CoA thioesterase activity///3-isopropylbut-3-enoyl-CoA thioesterase activity///CoA hydrolase activity///acyl-CoA hydrolase activity///carboxylic ester hydrolase activity///glutaryl-CoA hydrolase activity///hydrolase activity///palmitoyl-(protein) hydrolase activity","negative regulation of Golgi to plasma membrane protein transport///protein depalmitoylation","cytoplasm///cytosol///extracellular exosome","GO:0034869///GO:0034843///GO:0034946///GO:0016289///GO:0047617///GO:0052689///GO:0044466///GO:0016787///GO:0008474","GO:0042997///GO:0002084","GO:0005737///GO:0005829///GO:0070062",-1.07837291849713,7.61363259370837,-9.9083851559185,4.21459782070934e-07,5.265445327197e-05,6.92366475562945
"1417556_at","1417556_at","fatty acid binding protein 1, liver","Fabp1","14080","","","","Mus musculus fatty acid binding protein 1, liver (Fabp1), mRNA",158508491,"NM_017399",NA,NA,NA,"6 32.14 cM","Chromosome 6, NC_000072.6 (71199888..71205023)","antioxidant activity///bile acid binding///chromatin binding///drug binding///fatty acid binding///lipid binding///long-chain fatty acid transporter activity///phospholipid binding///transporter activity","cellular response to hydrogen peroxide///cellular response to hypoxia///intestinal absorption///long-chain fatty acid transport///mitophagy in response to mitochondrial depolarization///negative regulation of apoptotic process///negative regulation of cysteine-type endopeptidase activity involved in apoptotic process///positive regulation of defense response to virus by host///positive regulation of fatty acid beta-oxidation///positive regulation of hydrolase activity///transport///xenophagy","apical cortex///cytoplasm///cytoplasm///cytosol///extracellular exosome///nucleoplasm///nucleus///nucleus///peroxisomal matrix///protein complex","GO:0016209///GO:0032052///GO:0003682///GO:0008144///GO:0005504///GO:0008289///GO:0005324///GO:0005543///GO:0005215","GO:0070301///GO:0071456///GO:0050892///GO:0015909///GO:0098779///GO:0043066///GO:0043154///GO:0002230///GO:0032000///GO:0051345///GO:0006810///GO:0098792","GO:0045179///GO:0005737///GO:0005737///GO:0005829///GO:0070062///GO:0005654///GO:0005634///GO:0005634///GO:0005782///GO:0043234",-1.48091689985201,7.83915905638701,-9.89566241006892,4.27300052371082e-07,5.32366289005198e-05,6.90982256673206
"1426657_s_at","1426657_s_at","3-phosphoglycerate dehydrogenase pseudogene///3-phosphoglycerate dehydrogenase","Gm8096///Phgdh","666422///236539","","","","Mus musculus A10 mRNA, partial cds",398584,"L21027",NA,NA,NA,"8///3 E1","Chromosome 8, NC_000074.6 (28083194..28084853, complement)///Chromosome 3, NC_000069.6 (98313171..98339969, complement)","NAD binding///oxidoreductase activity///oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor///phosphoglycerate dehydrogenase activity///phosphoglycerate dehydrogenase activity","G1 to G0 transition///L-serine biosynthetic process///L-serine metabolic process///cellular amino acid biosynthetic process///gamma-aminobutyric acid metabolic process///glial cell development///glutamine metabolic process///glycine metabolic process///metabolic process///neural tube development///neurogenesis///neuron projection development///oxidation-reduction process///regulation of gene expression///serine family amino acid biosynthetic process///spinal cord development///taurine metabolic process///threonine metabolic process","extracellular exosome///myelin sheath","GO:0051287///GO:0016491///GO:0016616///GO:0004617///GO:0004617","GO:0070314///GO:0006564///GO:0006563///GO:0008652///GO:0009448///GO:0021782///GO:0006541///GO:0006544///GO:0008152///GO:0021915///GO:0022008///GO:0031175///GO:0055114///GO:0010468///GO:0009070///GO:0021510///GO:0019530///GO:0006566","GO:0070062///GO:0043209",-1.3963531812974,8.97717133664957,-9.85868070256214,4.44775576239269e-07,5.46253023076004e-05,6.86949611336113
"1450788_at","1450788_at","serum amyloid A 1","Saa1","20208","","","","Mus musculus serum amyloid A 1 (Saa1), mRNA",118130531,"NM_009117",NA,NA,NA,"7 30.54 cM","Chromosome 7, NC_000073.6 (46740497..46743071, complement)","G-protein coupled receptor binding///chemoattractant activity///heparin binding///protein binding","acute-phase response///cell chemotaxis///cholesterol metabolic process","cytoplasmic microtubule///extracellular exosome///extracellular region///extracellular space///high-density lipoprotein particle","GO:0001664///GO:0042056///GO:0008201///GO:0005515","GO:0006953///GO:0060326///GO:0008203","GO:0005881///GO:0070062///GO:0005576///GO:0005615///GO:0034364",-1.28223970556858,10.9402951150488,-9.81253963242397,4.67663709175965e-07,5.62916143296034e-05,6.8189916510574
"1421114_a_at","1421114_a_at","epiphycan","Epyc","13516","","","","Mus musculus epiphycan (Epyc), mRNA",31982410,"NM_007884",NA,NA,NA,"10 C2-C3","Chromosome 10, NC_000076.6 (97644068..97681900)","heparin binding","axonogenesis","extracellular region///extracellular space///proteinaceous extracellular matrix","GO:0008201","GO:0007409","GO:0005576///GO:0005615///GO:0005578",-1.22287016892983,8.17355428634256,-9.78811707777443,4.80287951167334e-07,5.73054679513173e-05,6.79217368235741
"1422789_at","1422789_at","aldehyde dehydrogenase family 1, subfamily A2","Aldh1a2","19378","","","","Mus musculus aldehyde dehydrogenase family 1, subfamily A2 (Aldh1a2), mRNA",225735568,"NM_009022",NA,NA,NA,"9 39.85 cM","Chromosome 9, NC_000075.6 (71215789..71296243)","3-chloroallyl aldehyde dehydrogenase activity///aldehyde dehydrogenase (NAD) activity///oxidoreductase activity///oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor///retinal binding///retinal dehydrogenase activity///retinal dehydrogenase activity","9-cis-retinoic acid biosynthetic process///anterior/posterior pattern specification///anterior/posterior pattern specification///blood vessel development///camera-type eye development///cardiac muscle tissue development///cellular response to retinoic acid///determination of bilateral symmetry///embryonic camera-type eye development///embryonic digestive tract development///embryonic forelimb morphogenesis///embryonic limb morphogenesis///face development///face development///forebrain development///heart development///heart looping///heart morphogenesis///hindbrain development///lung development///metabolic process///morphogenesis of embryonic epithelium///negative regulation of cell proliferation///neural crest cell development///neural crest cell development///neural tube development///neuron differentiation///oxidation-reduction process///pancreas development///positive regulation of apoptotic process///positive regulation of cell proliferation///positive regulation of gene expression///proximal/distal pattern formation///regulation of endothelial cell proliferation///response to cytokine///retinal metabolic process///retinoic acid biosynthetic process///retinoic acid metabolic process///retinoic acid metabolic process///retinoic acid metabolic process///retinoic acid receptor signaling pathway///retinoic acid receptor signaling pathway///retinoid metabolic process///ureter maturation","cytoplasm///cytosol///perinuclear region of cytoplasm","GO:0004028///GO:0004029///GO:0016491///GO:0016620///GO:0016918///GO:0001758///GO:0001758","GO:0042904///GO:0009952///GO:0009952///GO:0001568///GO:0043010///GO:0048738///GO:0071300///GO:0009855///GO:0031076///GO:0048566///GO:0035115///GO:0030326///GO:0060324///GO:0060324///GO:0030900///GO:0007507///GO:0001947///GO:0003007///GO:0030902///GO:0030324///GO:0008152///GO:0016331///GO:0008285///GO:0014032///GO:0014032///GO:0021915///GO:0030182///GO:0055114///GO:0031016///GO:0043065///GO:0008284///GO:0010628///GO:0009954///GO:0001936///GO:0034097///GO:0042574///GO:0002138///GO:0042573///GO:0042573///GO:0042573///GO:0048384///GO:0048384///GO:0001523///GO:0035799","GO:0005737///GO:0005829///GO:0048471",-1.24191341517222,5.92204499444703,-9.74085031098118,5.05772881567986e-07,5.91746423917526e-05,6.74010124447808
"1453644_at","1453644_at","odorant binding protein IA","Obp1a","18249","","","","Mus musculus 10 days neonate head cDNA, RIKEN full-length enriched library, clone:5530600L21 product:odorant binding protein Ia, full insert sequence",12856697,"AK017455",NA,NA,NA,"X A7.3","Chromosome X, NC_000086.7 (78085505..78091374, complement)","odorant binding///transporter activity","biological_process///response to stimulus///sensory perception of smell///transport","cellular_component///extracellular region","GO:0005549///GO:0005215","GO:0008150///GO:0050896///GO:0007608///GO:0006810","GO:0005575///GO:0005576",-1.20505842691388,4.73475179987201,-9.71778398237111,5.18733787781735e-07,5.98348147384757e-05,6.71460819176347
"1418554_at","1418554_at","G protein-coupled receptor 182","Gpr182","11536","","","","Mus musculus G protein-coupled receptor 182 (Gpr182), mRNA",117606338,"NM_007412",NA,NA,NA,"10 75.07 cM","Chromosome 10, NC_000076.6 (127749602..127751798, complement)","G-protein coupled receptor activity///adrenomedullin receptor activity///signal transducer activity","G-protein coupled receptor signaling pathway///intracellular signal transduction///signal transduction","integral component of membrane///intracellular///membrane///plasma membrane","GO:0004930///GO:0001605///GO:0004871","GO:0007186///GO:0035556///GO:0007165","GO:0016021///GO:0005622///GO:0016020///GO:0005886",-1.01000659864208,5.72602211455067,-9.69070078976227,5.34408859736245e-07,6.10186683113022e-05,6.68460713404066
"1427482_a_at","1427482_a_at","carbonic anhydrase 8","Car8","12319","","","","Mouse mRNA for carbonic anhydrase-related polypeptide",50286,"X61397",NA,NA,NA,"4 3.53 cM","Chromosome 4, NC_000070.6 (8141493..8239041, complement)","carbonate dehydratase activity///metal ion binding///protein binding///zinc ion binding","one-carbon metabolic process///phosphatidylinositol-mediated signaling","cytoplasm///intracellular","GO:0004089///GO:0046872///GO:0005515///GO:0008270","GO:0006730///GO:0048015","GO:0005737///GO:0005622",-1.74651467532542,7.15840129458712,-9.60205888313673,5.89374032257937e-07,6.56329832811487e-05,6.58589456121371
"1420782_at","1420782_at","tumor necrosis factor receptor superfamily, member 17","Tnfrsf17","21935","","","","Mus musculus tumor necrosis factor receptor superfamily, member 17 (Tnfrsf17), mRNA",6755822,"NM_011608",NA,NA,NA,"16 B3","Chromosome 16, NC_000082.6 (11313174..11320074)","receptor activity","adaptive immune response///immune system process///lymphocyte homeostasis///signal transduction","integral component of membrane///membrane","GO:0004872","GO:0002250///GO:0002376///GO:0002260///GO:0007165","GO:0016021///GO:0016020",-1.10335787092982,6.89336053239097,-9.58808683912704,5.98578331791553e-07,6.58424516666274e-05,6.57026198628093
"1419400_at","1419400_at","microsomal triglyceride transfer protein","Mttp","17777","","","","L0230A03-3 NIA Mouse Newborn Ovary cDNA Library Mus musculus cDNA clone L0230A03 3-, mRNA sequence",31568973,"AW553649",NA,NA,NA,"3 64.06 cM","Chromosome 3, NC_000069.6 (138089855..138143461, complement)","apolipoprotein binding///lipid binding///lipid transporter activity///lipid transporter activity///phospholipid transporter activity///protein binding///protein heterodimerization activity","cholesterol homeostasis///cholesterol metabolic process///circadian rhythm///lipid metabolic process///lipid transport///lipoprotein metabolic process///lipoprotein metabolic process///lipoprotein transport///lipoprotein transport///phospholipid transport///plasma lipoprotein particle assembly///protein lipidation///steroid metabolic process///transport///triglyceride metabolic process///triglyceride transport","Golgi apparatus///Golgi apparatus///basolateral plasma membrane///brush border membrane///endoplasmic reticulum///endoplasmic reticulum///membrane-bounded vesicle///microvillus membrane///receptor complex///rough endoplasmic reticulum","GO:0034185///GO:0008289///GO:0005319///GO:0005319///GO:0005548///GO:0005515///GO:0046982","GO:0042632///GO:0008203///GO:0007623///GO:0006629///GO:0006869///GO:0042157///GO:0042157///GO:0042953///GO:0042953///GO:0015914///GO:0034377///GO:0006497///GO:0008202///GO:0006810///GO:0006641///GO:0034197","GO:0005794///GO:0005794///GO:0016323///GO:0031526///GO:0005783///GO:0005783///GO:0031988///GO:0031528///GO:0043235///GO:0005791",-1.1036642893901,7.47689345086409,-9.58592778767576,6.00014359659074e-07,6.58424516666274e-05,6.56784455393925
"1425049_at","1425049_at","2'-5' oligoadenylate synthetase 1H","Oas1h","246729","","","","Mus musculus oasl6 mRNA for 2',5'-oligoadenylate synthetase-like 6, complete cds",18389322,"AB067530",NA,NA,NA,"5 60.64 cM","Chromosome 5, NC_000071.6 (120861422..120873506)","NOT 2'-5'-oligoadenylate synthetase activity///double-stranded RNA binding","biological_process","cellular_component","NOT GO:0001730///GO:0003725","GO:0008150","GO:0005575",-1.35251249027373,5.56475787176161,-9.54457161694255,6.2824763570875e-07,6.79952283126985e-05,6.52144670909446
"1428485_at","1428485_at","carbonic anhydrase 12","Car12","76459","","","","Mus musculus adult male tongue cDNA, RIKEN full-length enriched library, clone:2310047E01 product:unclassifiable, full insert sequence",12844936,"AK009873",NA,NA,NA,"9 C","Chromosome 9, NC_000075.6 (66711626..66766845)","carbonate dehydratase activity///lyase activity///metal ion binding///zinc ion binding","carbon dioxide transport///chloride ion homeostasis///one-carbon metabolic process///regulation of pH","cellular_component///integral component of membrane///membrane","GO:0004089///GO:0016829///GO:0046872///GO:0008270","GO:0015670///GO:0055064///GO:0006730///GO:0006885","GO:0005575///GO:0016021///GO:0016020",-1.32836773900315,6.3412424676414,-9.53547553873105,6.34646846625469e-07,6.83131442235209e-05,6.51121811564998
"1452065_at","1452065_at","V-set and transmembrane domain containing 2A","Vstm2a","211739","","","","BB085570 RIKEN full-length enriched, adult male diencephalon Mus musculus cDNA clone 9330200H12 3-, mRNA sequence",8651355,"BB085570",NA,NA,NA,"11 A2","Chromosome 11, NC_000077.6 (16257357..16284551)","molecular_function","biological_process","cellular_component///extracellular region","GO:0003674","GO:0008150","GO:0005575///GO:0005576",-1.4498790177573,4.47312197049004,-9.51041379164023,6.52643026346059e-07,6.94610662200149e-05,6.48299182742613
"1419010_x_at","1419010_x_at","kallikrein 1-related peptidase b5","Klk1b5","16622","","","","Mus musculus kallikrein 1-related peptidase b5 (Klk1b5), mRNA",999809123,"NM_008456",NA,NA,NA,"7 28.73 cM","Chromosome 7, NC_000073.6 (44216474..44220703)","endopeptidase activity///hydrolase activity///hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides///peptidase activity///serine-type endopeptidase activity///serine-type endopeptidase activity///serine-type endopeptidase activity///serine-type peptidase activity","proteolysis","extracellular exosome///extracellular space///nucleus///protein complex","GO:0004175///GO:0016787///GO:0016811///GO:0008233///GO:0004252///GO:0004252///GO:0004252///GO:0008236","GO:0006508","GO:0070062///GO:0005615///GO:0005634///GO:0043234",-1.03790407372842,7.07030999616214,-9.45604301861232,6.93597441555183e-07,7.23098744087396e-05,6.42153183494678
